source,destination,avg_distance,weekday,hour,icon,predict
Boston University,Back Bay,1.572266759,Thursday,3,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,3,rain,1
Boston University,Back Bay,1.572266759,Thursday,3,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,4,fog,1
Boston University,Back Bay,1.572266759,Thursday,4,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,4,clear-day,2
Boston University,Back Bay,1.572266759,Thursday,4,rain,1
Boston University,Back Bay,1.572266759,Thursday,4,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,5,fog,1
Boston University,Back Bay,1.572266759,Thursday,5,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,5,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,5,rain,1
Boston University,Back Bay,1.572266759,Thursday,5,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,6,fog,1
Boston University,Back Bay,1.572266759,Thursday,6,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,6,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,6,rain,1
Boston University,Back Bay,1.572266759,Thursday,6,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,7,fog,1
Boston University,Back Bay,1.572266759,Thursday,7,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,7,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,7,rain,1
Boston University,Back Bay,1.572266759,Thursday,7,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,8,fog,1
Boston University,Back Bay,1.572266759,Thursday,8,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,8,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,8,rain,1
Boston University,Back Bay,1.572266759,Thursday,8,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,9,fog,1
Boston University,Back Bay,1.572266759,Thursday,9,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,9,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,9,rain,1
Boston University,Back Bay,1.572266759,Thursday,9,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,10,fog,1
Boston University,Back Bay,1.572266759,Thursday,10,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,10,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,10,rain,1
Boston University,Back Bay,1.572266759,Thursday,10,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,11,fog,1
Boston University,Back Bay,1.572266759,Thursday,11,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,11,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,11,rain,1
Boston University,Back Bay,1.572266759,Thursday,11,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,12,fog,1
Boston University,Back Bay,1.572266759,Thursday,12,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,12,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,12,rain,1
Boston University,Back Bay,1.572266759,Thursday,12,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,13,fog,1
Boston University,Back Bay,1.572266759,Thursday,13,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,13,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,13,rain,1
Boston University,Back Bay,1.572266759,Thursday,13,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,14,fog,1
Boston University,Back Bay,1.572266759,Thursday,14,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,14,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,14,rain,1
Boston University,Back Bay,1.572266759,Thursday,14,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,15,fog,1
Boston University,Back Bay,1.572266759,Thursday,15,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Thursday,15,clear-day,1
Boston University,Back Bay,1.572266759,Thursday,15,rain,1
Boston University,Back Bay,1.572266759,Thursday,15,cloudy,1
Boston University,Back Bay,1.572266759,Thursday,16,fog,1
Boston University,Back Bay,1.572266759,Thursday,16,partly-cloudy-day,1
